M,D,S, mean accuracy for top 91,148,238,std of accuracy for top 91,148,238, SNR for top 91,148,238
2,1,0m,0.14331085157038942,0.15451079116827254,0.16598898740789036,0.2354787887334457,0.24148572198095394,0.24213721765660406,0.6085934633059992,0.639834065139714,0.6855162085957964
2,1,1m,0.18131032734281113,0.19340491063604398,0.20264846996497027,0.25852847798274636,0.2627263123268674,0.26056706647871825,0.7013166547745328,0.7361459494602196,0.7777209633724819
2,3,0m,0.2521768745129952,0.26708038704781867,0.27916750101927335,0.3468873025214098,0.3548000774031491,0.35615548270617564,0.7269706117231861,0.7527630461713314,0.7838360339087731
2,3,1m,0.21479184330628143,0.2239419092768972,0.22634366795344504,0.28973937845197373,0.29367765550851865,0.28486942544420585,0.7413277561851491,0.7625432343129058,0.7945523377965193
3,0.1,0m,0.023818657588615212,0.03322697810243898,0.04210659114152586,0.04166729957934532,0.04884333545770564,0.052209541693954996,0.5716390989835645,0.6802765984565252,0.8064922574564777
3,0.1,1m,0.02073015681398338,0.024469639608573457,0.03211965391978358,0.025746844425151228,0.027460552455879007,0.03139593084942366,0.8051533023492691,0.8910832965902247,1.0230514926864545
3,0.5,0m,0.053188566129835954,0.06266002138589213,0.07482627601120916,0.09727953228245093,0.10413263734352296,0.10990483196446373,0.5467600931242459,0.6017327802731348,0.6808279005913338
3,0.5,1m,0.052546452841853775,0.0592328716701932,0.06739583479869164,0.0694337376111693,0.07282291495957574,0.07583165202648637,0.7567856009151523,0.8133823220764175,0.8887559877391531
3,0,0m,0.01659950657440049,0.026088697693059715,0.034163240383549814,0.022073800306173313,0.03402146868702158,0.03731262463651401,0.7520003961328832,0.7668304367768803,0.9155946738230197
3,0,1m,0.019982319563748636,0.027872881069913265,0.03453473116244893,0.02036041851158281,0.027963215840731786,0.0310267522986712,0.9814297064856955,0.9967695142313733,1.1130630376653365
3,12,0m,0.2611369965225477,0.2768155102642548,0.28812548189479253,0.3727733014211864,0.38081850895473657,0.3817316299609867,0.7005249451260891,0.7268961559249124,0.7547854547034502
3,12,1m,0.4169856635627839,0.4226001675626179,0.4220960270414518,0.42700982426595974,0.428629769690627,0.4252223181990882,0.9765247539201056,0.9859328433198631,0.9926478667185746
3,1,0m,0.08474053299966722,0.09369583692594838,0.10730122760474267,0.17118984777842977,0.17820865100476113,0.18579312754405683,0.49500910304766726,0.5257648065774604,0.577530660165557
3,1,1m,0.0900973865116659,0.09519119042999584,0.100137373113475,0.13859579106890443,0.13890070478957342,0.13930440438837394,0.6500730348071897,0.685318267997308,0.7188385288543846
3,3,0m,0.17867422640900435,0.19218213271543022,0.2034913328506962,0.3093793550080603,0.3196854177453962,0.32157260488594835,0.5775247233428014,0.6011601469682545,0.6328005861160597
3,3,1m,0.1897414388916585,0.19726966334556056,0.2042520271342494,0.26905602451804395,0.2723020552572208,0.2662137218579434,0.7052116347572575,0.7244516137023518,0.7672483060179823
4,0.1,0m,0.015234817850625276,0.02045309808703231,0.03103469949103103,0.029416984978893446,0.03421187097130653,0.05052455653951975,0.5178918866619469,0.5978362920924819,0.6142498146768697
4,0.1,1m,0.014691504431282676,0.018472856111114964,0.02668586747679553,0.019459592652541435,0.02176064195248113,0.03213942654946626,0.7549749212948688,0.8489113580129792,0.8303156073965078
4,0.5,0m,0.0320189112589397,0.03839503308453105,0.046336769349435133,0.08789995978733936,0.09125875852483097,0.09622467138843051,0.3642653686805387,0.4207271028575738,0.4815477016532207
4,0.5,1m,0.03483496278617844,0.040614506349454516,0.0505429368393576,0.051492613469894,0.0567700054084929,0.057956896349245765,0.6765040738618806,0.7154219214391427,0.8720780446003878
4,0,0m,0.01557943603488362,0.022100365067739235,0.03243858203475638,0.03397188496026203,0.0398511621885687,0.05285262597705277,0.45859792746582567,0.5545726612228821,0.6137553515096934
4,0,1m,0.016709948169035045,0.02382057420930741,0.031175598156338184,0.02534414669236017,0.03359518678550268,0.03518874865460846,0.659321790229069,0.7090472323132518,0.8859535888115563
4,12,0m,0.24745752748125982,0.26467768928956825,0.2770568163737807,0.3876502442951807,0.39858655645774704,0.4015016314257573,0.638352564258493,0.6640406832627982,0.6900515332650946
4,12,1m,0.2556153383049711,0.2574054270024403,0.2559999830468001,0.35444743719136945,0.3494376444888819,0.346336688957948,0.7211657117073808,0.736627638899478,0.7391650703165424
4,1,0m,0.06625340233970581,0.07927795984568445,0.09039742546032557,0.13747617705328335,0.15131337183709073,0.15842193925009368,0.4819264236161233,0.5239322796338044,0.5706117845055486
4,1,1m,0.03671857364270952,0.04373521896982564,0.05353947647052343,0.04851738346634164,0.050942516822397185,0.05420023690145759,0.7568127343096026,0.8585209702595061,0.9878089014235214
4,3,0m,0.1638410770293,0.1775426409802437,0.1891450052883439,0.296300856040799,0.30242439132246607,0.3053768736348831,0.5529551254713216,0.5870645558841029,0.6193822179032812
4,3,1m,0.15995770350549424,0.1718154864307042,0.1768878366991445,0.27220493779579813,0.2792778477280035,0.27534258303877535,0.5876370384783057,0.6152134436313764,0.6424281879938424
